2007,MCI	584915.000000	63864
2007,MCN	22317.000000	936
2007,MCO	1342664.000000	128625
2007,MDT	118981.000000	8481
2007,MDW	1314226.000000	94495
2007,MEI	11258.000000	653
2007,MEM	726789.000000	83451
2007,MFE	32932.000000	4661
2007,MFR	48970.000000	6256
2007,MGM	47840.000000	3956
2007,MHT	228924.000000	20906
2007,MIA	931389.000000	63898
2007,MKC	8.000000	1
2007,MKE	324071.000000	27599
2007,MLB	18152.000000	2006
2007,MLI	98997.000000	9094
2007,MLU	38591.000000	2961
2007,MOB	72525.000000	6013
2007,MOD	26444.000000	2956
2007,MOT	3666.000000	1058
2007,MQT	10286.000000	1023
2007,MRY	50419.000000	8559
2007,MSN	149935.000000	12872
2007,MSO	23391.000000	3760
2007,MSP	1559051.000000	152310
2007,MSY	327635.000000	36949
2007,MTH	2012.000000	126
2007,MTJ	24671.000000	2549
2007,MYR	89227.000000	6600
2007,OAJ	18852.000000	1111
2007,OAK	626586.000000	73976
2007,OGG	21269.000000	25292
2007,OKC	248508.000000	26254
2007,OMA	283581.000000	27494
2007,OME	13760.000000	1045
2007,ONT	284222.000000	41172
2007,ORD	6649782.000000	359169
2007,ORF	212124.000000	19552
2007,OTZ	12585.000000	1033
2007,OXR	764.000000	1337
2007,PBI	308543.000000	29406
2007,PDX	412485.000000	58161
2007,PFN	49297.000000	3358
2007,PHF	48467.000000	5445
2007,PHL	1776124.000000	101571
2007,PHX	2264826.000000	208670
2007,PIA	59866.000000	5075
2007,PIH	-6370.000000	1813
2007,PIR	182.000000	4
2007,PIT	583412.000000	48101
2007,PLN	3531.000000	496
2007,PMD	3968.000000	380
2007,PNS	109502.000000	9998
2007,PSC	6718.000000	2694
2007,PSE	2349.000000	988
2007,PSG	9987.000000	692
2007,PSP	99285.000000	13049
2007,PVD	308428.000000	24743
2007,PWM	130616.000000	7946
2007,RAP	34537.000000	4899
2007,RDD	18473.000000	1773
2007,RDM	17037.000000	3626
2007,RDU	730668.000000	65767
2007,RFD	414.000000	690
2007,RHI	1605.000000	203
2007,RIC	226377.000000	19338
2007,RNO	199919.000000	27004
2007,ROA	55669.000000	3510
2007,ROC	236179.000000	16589
2007,ROW	3295.000000	234
2007,RST	44863.000000	3964
2007,RSW	260787.000000	27368
2007,SAN	678890.000000	96174
2007,SAT	389838.000000	45641
2007,SAV	143047.000000	13854
2007,SBA	72259.000000	13973
2007,SBN	89770.000000	4893
2007,SBP	33453.000000	6900
2007,SCC	7769.000000	700
2007,SCE	9662.000000	642
2007,SDF	237394.000000	21789
2007,SEA	1201333.000000	108050
2007,SFO	1599191.000000	135941
2007,SGF	152628.000000	10618
2007,SGU	8611.000000	3613
2007,SHV	95695.000000	8672
2007,SIT	14108.000000	1322
2007,SJC	396998.000000	61067
2007,SJT	15179.000000	1732
2007,SJU	280773.000000	23402
2007,SLC	955770.000000	146685
2007,SLE	1025.000000	395
2007,SMF	478952.000000	57523
2007,SMX	3695.000000	1731
2007,SNA	354491.000000	52058
2007,SOP	6634.000000	185
2007,SPI	34107.000000	1611
2007,SPS	20319.000000	2156
2007,SRQ	54383.000000	7259
2007,STL	656021.000000	63564
2007,STT	32505.000000	2921
2007,STX	5971.000000	473
2007,SUN	1023.000000	3033
2007,SUX	4078.000000	474
2007,SWF	58935.000000	5472
2007,SYR	180944.000000	12902
2007,TEX	2631.000000	184
2007,TLH	43838.000000	4169
2007,TOL	22762.000000	2001
2007,TPA	718059.000000	79080
2007,TRI	21287.000000	1148
2007,TTN	7907.000000	770
2007,TUL	229694.000000	24471
2007,TUP	5710.000000	566
2007,TUS	173509.000000	27892
2007,TVC	46844.000000	3981
2007,TWF	-3831.000000	2081
2007,TXK	11251.000000	1135
2007,TYR	15941.000000	1536
2007,TYS	135739.000000	13593
2007,VLD	15544.000000	1029
2007,VPS	88471.000000	6759
2007,WRG	6860.000000	704
2007,WYS	-1315.000000	263
2007,XNA	186816.000000	13452
2007,YAK	4941.000000	710
2007,YKM	3341.000000	407
2007,YUM	22153.000000	3439
2008,ABE	36686.000000	4655
2008,ABI	18006.000000	2617
2008,ABQ	303705.000000	40813
2008,ABY	11818.000000	1078
2008,ACK	12509.000000	419
2008,ACT	9993.000000	1919
2008,ACV	54479.000000	3586
2008,ACY	2096.000000	113
2008,ADK	1256.000000	92
2008,ADQ	3805.000000	663
2008,AEX	19750.000000	2256
2008,AGS	27846.000000	2359
2008,AKN	2501.000000	114
2008,ALB	119084.000000	13211
2008,ALO	1705.000000	268
2008,AMA	59723.000000	7368
2008,ANC	132736.000000	19059
2008,ASE	61876.000000	4821
2008,ATL	4706290.000000	408683
2008,ATW	51364.000000	5562
2008,AUS	362918.000000	48891
2008,AVL	43045.000000	4299
2008,AVP	28718.000000	2288
2008,AZO	31247.000000	3610
2008,BDL	219196.000000	28862
2008,BET	7914.000000	1007
2008,BFL	7420.000000	4450
2008,BGM	4186.000000	700
2008,BGR	34940.000000	2787
2008,BHM	213292.000000	23294
2008,BIL	3323.000000	4464
2008,BIS	7425.000000	2252
2008,BJI	-197.000000	73
2008,BLI	-658.000000	119
2008,BMI	53821.000000	4576
2008,BNA	575234.000000	56748
2008,BOI	116226.000000	16904
2008,BOS	1095481.000000	114260
2008,BPT	90.000000	257
2008,BQK	5662.000000	906
2008,BQN	8063.000000	1510
2008,BRO	6790.000000	1410
2008,BRW	11612.000000	711
2008,BTM	-1986.000000	690
2008,BTR	98837.000000	8622
2008,BTV	81144.000000	6815
2008,BUF	267933.000000	25670
2008,BUR	212127.000000	30870
2008,BWI	1044610.000000	103072
2008,BZN	20139.000000	4617
2008,CAE	130555.000000	10161
2008,CAK	87846.000000	8769
2008,CDC	-460.000000	656
2008,CDV	5909.000000	708
2008,CEC	24549.000000	1015
2008,CHA	32700.000000	4436
2008,CHO	6340.000000	806
2008,CHS	144210.000000	13766
2008,CIC	23386.000000	1363
2008,CID	92172.000000	8917
2008,CLD	4263.000000	2268
2008,CLE	585714.000000	64436
2008,CLL	8079.000000	1328
2008,CLT	1171997.000000	124059
2008,CMH	325164.000000	33390
2008,CMI	27895.000000	2631
2008,CMX	2890.000000	279
2008,COD	-4657.000000	1172
2008,COS	103816.000000	15951
2008,CPR	3171.000000	2674
2008,CRP	31907.000000	5134
2008,CRW	29728.000000	3322
2008,CSG	14005.000000	1445
2008,CVG	810416.000000	89412
2008,CWA	27281.000000	2425
2008,DAB	32981.000000	2890
2008,DAL	580039.000000	52953
2008,DAY	108881.000000	15429
2008,DBQ	9857.000000	1256
2008,DCA	529859.000000	83927
2008,DEN	2372201.000000	238718
2008,DFW	3250914.000000	274009
2008,DHN	16866.000000	1378
2008,DLG	1831.000000	111
2008,DLH	4911.000000	1970
2008,DRO	7928.000000	3583
2008,DSM	145552.000000	16084
2008,DTW	1471593.000000	159406
2008,EGE	49386.000000	2989
2008,EKO	84.000000	1552
2008,ELM	4448.000000	1307
2008,ELP	136162.000000	20536
2008,ERI	5872.000000	1338
2008,EUG	30957.000000	5656
2008,EVV	37082.000000	5595
2008,EWN	6327.000000	777
2008,EWR	2448892.000000	133995
2008,EYW	15067.000000	993
2008,FAI	17681.000000	4754
2008,FAR	31607.000000	4333
2008,FAT	81391.000000	14107
2008,FAY	27693.000000	2233
2008,FCA	3833.000000	2739
2008,FLG	5058.000000	1769
2008,FLL	742028.000000	66635
2008,FLO	4705.000000	601
2008,FNT	46768.000000	8582
2008,FSD	56951.000000	5713
2008,FSM	15405.000000	2846
2008,FWA	69676.000000	5846
2008,GCC	8551.000000	1030
2008,GEG	91343.000000	15367
2008,GFK	4602.000000	1347
2008,GGG	6375.000000	939
2008,GJT	24745.000000	5074
2008,GNV	19700.000000	2020
2008,GPT	60048.000000	8361
2008,GRB	75958.000000	7565
2008,GRK	31420.000000	3599
2008,GRR	126368.000000	16145
2008,GSO	120853.000000	13103
2008,GSP	97937.000000	11438
2008,GST	813.000000	83
2008,GTF	-1059.000000	2121
2008,GTR	9720.000000	946
2008,GUC	12381.000000	915
2008,HDN	22666.000000	2319
2008,HHH	11845.000000	792
2008,HLN	3138.000000	1961
2008,HNL	157545.000000	55813
2008,HOU	666788.000000	54349
2008,HPN	102922.000000	10369
2008,HRL	43481.000000	4247
2008,HSV	76638.000000	10523
2008,HTS	-177.000000	155
2008,IAD	1008152.000000	73954
2008,IAH	1925375.000000	181911
2008,ICT	119394.000000	13598
2008,IDA	7641.000000	3045
2008,ILM	31330.000000	3336
2008,IND	316992.000000	42001
2008,INL	-341.000000	71
2008,IPL	-2258.000000	975
2008,ISP	87751.000000	10113
2008,ITH	1047.000000	121
2008,ITO	-1190.000000	8002
2008,IYK	-1751.000000	916
2008,JAC	35135.000000	3670
2008,JAN	95301.000000	12353
2008,JAX	288169.000000	32190
2008,JFK	1536954.000000	115608
2008,JNU	59425.000000	4305
2008,KOA	22632.000000	12637
2008,KTN	20753.000000	2312
2008,LAN	35838.000000	3526
2008,LAS	1787252.000000	170819
2008,LAW	10506.000000	2312
2008,LAX	1847975.000000	212770
2008,LBB	70836.000000	8145
2008,LCH	6771.000000	955
2008,LEX	90898.000000	10050
2008,LFT	35266.000000	4714
2008,LGA	1269751.000000	113382
2008,LGB	102570.000000	15309
2008,LIH	55.000000	13081
2008,LIT	172268.000000	15046
2008,LMT	9840.000000	493
2008,LNK	30970.000000	2946
2008,LRD	13393.000000	2075
2008,LSE	11942.000000	1894
2008,LWB	1984.000000	183
2008,LWS	453.000000	650
2008,LYH	1777.000000	610
2008,MAF	61710.000000	6757
2008,MBS	19869.000000	2760
2008,MCI	530201.000000	58529
2008,MCN	6539.000000	622
2008,MCO	1292672.000000	129789
2008,MDT	70068.000000	7408
2008,MDW	1073407.000000	86373
2008,MEI	6105.000000	662
2008,MEM	625499.000000	79450
2008,MFE	15155.000000	4002
2008,MFR	45529.000000	5532
2008,MGM	30468.000000	3781
2008,MHT	191594.000000	18290
2008,MIA	980432.000000	61772
2008,MKE	425423.000000	41500
2008,MKG	1118.000000	391
2008,MLB	17060.000000	1959
2008,MLI	89060.000000	8279
2008,MLU	13058.000000	2456
2008,MOB	41898.000000	6145
2008,MOD	29939.000000	2239
2008,MOT	3720.000000	1073
2008,MQT	11906.000000	951
2008,MRY	55978.000000	7406
2008,MSN	123459.000000	13327
2008,MSO	3504.000000	3232
2008,MSP	958808.000000	128560
2008,MSY	345459.000000	38608
2008,MTJ	15776.000000	2382
2008,MYR	37196.000000	5196
2008,OAJ	9907.000000	1156
2008,OAK	463783.000000	61570
2008,OGG	41278.000000	19653
2008,OKC	197276.000000	24757
2008,OMA	233219.000000	26531
2008,OME	5931.000000	1035
2008,ONT	237572.000000	34734
2008,ORD	5790299.000000	335330
2008,ORF	159415.000000	16155
2008,OTH	10749.000000	498
2008,OTZ	6763.000000	1048
2008,OXR	-2324.000000	1272
2008,PBI	310049.000000	27567
2008,PDX	391106.000000	57208
2008,PFN	41242.000000	3791
2008,PHF	49852.000000	6294
2008,PHL	1270728.000000	98530
2008,PHX	1637892.000000	197533
2008,PIA	48776.000000	5281
2008,PIH	-6802.000000	1639
2008,PIR	114.000000	5
2008,PIT	404781.000000	41041
2008,PLN	827.000000	251
2008,PMD	8915.000000	707
2008,PNS	65694.000000	9296
2008,PSC	-1315.000000	2508
2008,PSE	32.000000	745
2008,PSG	9455.000000	698
2008,PSP	71855.000000	11824
2008,PUB	54.000000	2
2008,PVD	228962.000000	22130
2008,PWM	84067.000000	6675
2008,RAP	6613.000000	4065
2008,RDD	26487.000000	1641
2008,RDM	22084.000000	3408
2008,RDU	577938.000000	58926
2008,RFD	659.000000	285
2008,RHI	954.000000	207
2008,RIC	198432.000000	19481
2008,RKS	3619.000000	926
2008,RNO	185522.000000	24030
2008,ROA	40764.000000	3577
2008,ROC	149130.000000	13832
2008,ROW	7131.000000	949
2008,RST	28905.000000	3143
2008,RSW	233120.000000	26886
2008,SAN	724784.000000	92524
2008,SAT	347373.000000	44728
2008,SAV	144020.000000	13413
2008,SBA	84984.000000	12365
2008,SBN	76873.000000	4992
2008,SBP	40397.000000	5744
2008,SCC	7912.000000	720
2008,SCE	2682.000000	617
2008,SDF	241386.000000	22053
2008,SEA	926868.000000	107927
2008,SFO	1843824.000000	137797
2008,SGF	121332.000000	9659
2008,SGU	-499.000000	3285
2008,SHV	52984.000000	7811
2008,SIT	11871.000000	1310
2008,SJC	345883.000000	56330
2008,SJT	4800.000000	1294
2008,SJU	248345.000000	21438
2008,SLC	717857.000000	137998
2008,SLE	1042.000000	485
2008,SMF	386267.000000	52549
2008,SMX	2640.000000	1647
2008,SNA	287198.000000	46650
2008,SPI	24889.000000	1115
2008,SPS	7571.000000	1757
2008,SRQ	62863.000000	6350
2008,STL	596745.000000	61417
2008,STT	26441.000000	2943
2008,STX	6390.000000	432
2008,SUN	-3308.000000	2692
2008,SUX	638.000000	111
2008,SWF	29177.000000	4196
2008,SYR	134980.000000	11722
2008,TEX	2426.000000	153
2008,TLH	41697.000000	5793
2008,TOL	10921.000000	1396
2008,TPA	698761.000000	77452
2008,TRI	12837.000000	2060
2008,TUL	183333.000000	23098
2008,TUP	-38.000000	10
2008,TUS	140758.000000	26455
2008,TVC	44564.000000	4097
2008,TWF	771.000000	1773
2008,TXK	7201.000000	1194
2008,TYR	8047.000000	1535
2008,TYS	128285.000000	13737
2008,VLD	9965.000000	922
2008,VPS	63252.000000	6688
2008,WRG	5746.000000	696
2008,WYS	-1619.000000	263
2008,XNA	154540.000000	13642
2008,YAK	5116.000000	709
2008,YKM	386.000000	337
2008,YUM	10891.000000	3780
